product_id	product_name	duration
265	环球影城及电影明星之家轻松游/Universal Studios & Movie Stars' Homes Tour(英文团) 	null
268	诺氏草莓乐园之旅/ee	null
271	保罗盖蒂博物馆及影星之家游/J. Paul Getty Museum & Movie Stars' Homes Tour 	null
272	圣地亚哥海洋世界奇趣游/1-Day Sea World of California Tour 	null
274	提华纳疯狂购物一日游/Tijuana Shopping Adventure Tour(英文团)	null
317	大峡谷,纳瓦霍印第安人保留地之旅/Grand Canyon,Navajo Indian Reservation 	null
318	1铁路游览大峡谷从旗杆	null
320	 ！@#￥%……&*（）——+{}|：“《》？，	null
321	羚羊峡谷,格兰峡谷精彩游	null
322	Petrified Forest/Painted Desert/Meteor Crater Tour	null
323	Monument Valley Tribal Park Tour	null
325	一日旗杆镇,大峡谷直升飞机冒险之旅/Flagstaff,Grand Canyon Helicopter Adventure Tour	null
327	一日大峡谷直升飞机冒险之旅/Grand Canyon Helicopter Adventure Tour	null
334	一日科罗拉多河漂流之旅(塞多纳)/Colorado River Float Sedona Trip	null
349	一日西峡谷 *玻璃桥* 创新精致游 	null
365	一日大峡谷经圣多纳和纳瓦霍保留地之游/Grand Canyon via Sedona and Navajo Reservation	null
366	一日大峡谷直升飞机冒险之旅/Phoenix Grand Canyon Helicopter Adventure	null
409	胡佛大坝金鹰直升飞机豪华游(EC-130 Ecostar喷气式飞机)/Grand Canyon Golden Eagle Helicopter Tour	null
414	大峡谷鉴赏团	null
415	南峡谷 陆地+空中一日游/Canyon Deluxe Helicopter Tour (豪华直升机)	null
418	西峡谷 陆地+空中+小船一日游/Grand Canyon Airplane, Boat, Helicopter Combination Tour(豪华直升机)(不含玻璃桥门票)	null
426	"心脏之城"华盛顿: 永难忘怀的人文和历史+纽约出发/结束 /Washington D.C. 1 Day (全英文团)	null
427	一日费城,阿米什乡村巴士游/Philadephia&Amish Country 1 Day	null
428	海港城市波士顿一日游, 精华体验尽收眼底/Boston - Freedom Trail 1 Day (全英文团)	null
429	肯尼迪太空中心宇航科技奥秘之旅/KennedySpaceCenterTour	null
430	肯尼迪太空中心之旅-捷运/Kennedy Space Center Tour - Transportation Only	null
431	肯尼迪太空中心探秘, 大沼泽地"草上飞"汽船冒险/Kennedy Space Center & Airboat Safari tour 	null
434	肯尼迪中心极限太空体验之旅	null
436	惊险鳄鱼乐园野生动物之旅/Gatorland Tour 	null
441	自然的奥秘: 大沼泽地探险之旅/Everglades & Miami Adventure Tour 	null
442	海滨城市热情全体验之旅/One-day Miami Tour	null
444	闲情逸致奥兰多城市游: 福音午餐, 美景巡航/Gospel Brunch and City Tour of Orlando	null
446	风景如画水晶河浮潜, 奇遇丛生野生动物观赏/Swim where the Manatees live Tour 	null
450	墨西哥湾深海捕鱼, 沙滩自由嬉戏/Deep Sea Fishing Tour - Gulf Of Mexico 	null
457	大峡谷西缘印第安巴士之旅/West Rim Indian Bus Tour	null
460	海上快艇飞驰: 邂逅海豚, 亲吻海风/The Sea Screamer	null
465	北峡谷直升飞机之旅/North Canyon Best selling Air Tour	null
467	大峡谷奇观直升飞机空中之旅/Grand Canyon Majestic Helicopter Tour	null
468	大峡谷帝国直升飞机之旅/Extended Helicopter Air Tour	null
469	迈阿密海豚之旅	null
